frame,mph,yards_per_sec,accel_mph_s,stride_ft,stride_yards,rotation_deg,total_yards,total_feet,effort,x_px,y_px
66,10.02,4.898,68.857,1.6,0.534,6.88,48.52,145.56,ROUTE,636.4,670.6
67,8.45,4.129,-62.92,1.73,0.578,9.3,48.65,145.94,JOGGING,655.7,677.5
68,6.29,3.077,-86.114,0.84,0.279,10.19,48.74,146.22,JOGGING,651.8,663.7
69,8.09,3.955,71.832,0.31,0.102,6.87,48.88,146.64,JOGGING,657.2,641.9
70,8.87,4.334,31.048,0.19,0.062,10.97,49.03,147.09,JOGGING,635.3,650.4
71,6.91,3.377,-78.282,0.18,0.059,12.71,49.13,147.39,JOGGING,619.2,651.0
72,9.35,4.571,97.631,0.22,0.075,18.34,49.3,147.89,ROUTE,593.4,646.4
73,15.24,7.45,235.598,0.32,0.106,17.25,49.58,148.73,RUNNING,608.4,604.6
74,20.02,9.787,191.159,0.39,0.131,3.26,49.93,149.79,SPRINTING,660.1,584.1
75,11.19,5.469,-353.293,0.38,0.127,7.67,50.06,150.19,ROUTE,643.6,597.4
76,7.23,3.533,-158.341,0.46,0.155,5.96,50.16,150.48,JOGGING,640.8,612.3
77,7.32,3.577,3.574,0.65,0.217,10.68,50.28,150.84,JOGGING,622.8,618.2
78,7.0,3.422,-12.702,2.9,0.968,15.32,50.39,151.18,JOGGING,640.5,620.3
79,4.07,1.992,-116.964,3.47,1.157,19.18,50.44,151.33,WALKING,648.4,619.4
80,1.21,0.591,-114.643,2.86,0.952,20.87,50.45,151.34,STANDING,648.8,618.9
81,3.46,1.69,89.902,1.81,0.604,10.18,50.52,151.55,WALKING,649.6,608.1
82,9.48,4.635,240.968,0.1,0.032,-1.65,50.7,152.11,ROUTE,651.0,637.7
83,17.43,8.521,317.953,0.21,0.07,2.98,51.03,153.09,RUNNING,689.2,602.7
84,9.47,4.632,-318.197,1.04,0.347,1.21,51.14,153.42,ROUTE,705.2,609.9
85,10.34,5.057,34.748,3.16,1.053,1.09,51.31,153.94,ROUTE,708.4,637.1
86,17.01,8.314,266.529,2.1,0.699,0.14,51.63,154.88,RUNNING,755.3,621.2
87,10.01,4.896,-279.667,1.48,0.492,-4.97,51.75,155.26,ROUTE,768.1,636.3
88,5.89,2.879,-165.012,0.69,0.229,-1.82,51.83,155.48,JOGGING,756.9,639.4
89,8.15,3.987,90.618,0.27,0.09,-1.63,51.97,155.91,JOGGING,736.5,650.0
90,4.22,2.064,-157.339,1.53,0.511,1.71,52.02,156.06,WALKING,743.4,653.0
91,4.88,2.387,26.419,2.01,0.671,3.69,52.1,156.31,WALKING,755.6,657.9
92,5.01,2.451,5.263,1.97,0.656,1.36,52.18,156.55,JOGGING,763.5,668.2
93,5.53,2.705,20.798,0.82,0.272,-2.5,52.28,156.83,JOGGING,772.4,679.9
94,8.53,4.168,119.694,0.1,0.033,-7.13,52.43,157.3,JOGGING,748.0,682.8
95,7.39,3.615,-45.268,0.07,0.024,-4.29,52.55,157.64,JOGGING,732.0,674.3
96,3.29,1.609,-164.11,0.18,0.06,6.24,52.58,157.73,WALKING,728.1,677.2
97,3.81,1.864,20.871,0.33,0.111,2.01,52.64,157.93,WALKING,722.1,668.9
98,3.12,1.523,-27.877,1.06,0.354,-0.73,52.69,158.07,WALKING,718.3,675.3
99,1.92,0.939,-47.779,1.46,0.485,0.65,52.72,158.15,STANDING,715.6,678.1
100,6.4,3.128,179.09,2.22,0.739,-2.35,52.84,158.53,JOGGING,695.3,679.7
101,4.32,2.114,-82.976,2.39,0.796,-9.47,52.9,158.71,WALKING,686.6,676.1
102,5.53,2.701,48.035,1.66,0.553,-9.05,53.0,159.0,JOGGING,696.2,664.2
103,5.2,2.544,-12.829,0.77,0.256,-19.96,53.08,159.25,JOGGING,709.3,664.7
104,4.36,2.133,-33.628,0.26,0.088,-29.3,53.15,159.45,WALKING,716.0,656.6
